name,company,year,kms_driven,fuel_type,Price
Aston Martin DB12,Aston,2016,175745,Petrol,46932275
Honda City,Honda,2014,112284,Petrol,1258511
Citroen C3 Aircross,Citroen,2022,42024,Diesel,1023794
Tata Curvv,Tata,2026,4660,Petrol,1526791
Renault Kwid EV,Renault,2023,29561,Electric,974563
Cadillac CT5,Cadillac,2010,215399,Petrol,5136746
Citroen C3 Aircross,Citroen,2021,50379,Petrol,1093782
Toyota Fortuner,Toyota,2021,91629,Diesel,4240263
Mahindra XUV300,Mahindra,2010,289631,Petrol,909585
BMW Z4 M40i,BMW,2010,136008,Petrol,8402736
Jaguar I-Pace,Jaguar,2023,49785,Petrol,12226262
Lamborghini Huracan,Lamborghini,2018,156037,Petrol,41439947
Tata Harrier,Tata,2013,105581,Petrol,1547025
Audi A4,Audi,2021,97463,Petrol,4804633
Cadillac XT5,Cadillac,2019,77951,Diesel,5971459
Audi RS6,Audi,2026,2807,Diesel,15791856
Skoda Octavia RS,Skoda,2011,183147,Petrol,3746754
Hyundai Aura,Hyundai,2025,16046,Petrol,699703
Land Rover Discovery 5,Land Rover,2012,263708,Diesel,13818841
Mercedes-Benz AMG GTR,Mercedes-Benz,2015,167208,Petrol,38535999
Audi R8,Audi,2020,107769,Electric,23172709
Lexus IS,Lexus,2015,216766,Petrol,6336110
Audi R8,Audi,2023,35977,Diesel,23378342
Mahindra XUV700,Mahindra,2011,124763,Diesel,1640545
Audi Q3,Audi,2021,57637,Petrol,4569831
Toyota Camry Hybrid,Toyota,2010,222785,Electric,5276668
Audi RS3,Audi,2013,162187,Diesel,9015367
Audi A7,Audi,2023,53751,Petrol,8172434
Mercedes-Benz GLC,Mercedes-Benz,2014,114162,Petrol,7741705
Toyota Innova,Toyota,2023,40963,Petrol,2277007
Bentley Continental GT,Bentley,2010,282046,Petrol,47799407
Mahindra Scorpio N,Mahindra,2018,155285,Petrol,2350958
Lincoln Nautilus,Lincoln,2023,44989,Petrol,7708381
Mahindra BE 6,Mahindra,2023,25086,Petrol,3141480
Lamborghini Revuelto,Lamborghini,2023,45343,Petrol,88311380
Honda City,Honda,2026,2597,Petrol,1413923
Mahindra BE 5,Mahindra,2022,75168,Petrol,2781729
BMW 3 Series,BMW,2020,67106,Petrol,5947188
Cadillac XT4,Cadillac,2014,103876,Diesel,4654042
Honda HR-V,Honda,2016,155124,Diesel,1607080
Maruti Suzuki S-Presso,Maruti,2014,151506,Petrol,489926
Hyundai Grand i10,Hyundai,2016,181524,Diesel,620542
Skoda Octavia RS,Skoda,2012,130965,Petrol,3681912
Toyota Fortuner,Toyota,2023,58534,Petrol,3256808
Aston Martin DBS Superleggera,Aston,2013,224187,Petrol,58491900
BMW M4,BMW,2024,33129,Diesel,15617804
Audi A3,Audi,2017,90706,Petrol,3604700
Tata Nexon EV,Tata,2011,155653,Electric,1635843
Mercedes-Benz AMG A35,Mercedes-Benz,2018,71420,Electric,5921315
Tata Harrier,Tata,2022,62687,Petrol,1664981
Mercedes-Benz GLA,Mercedes-Benz,2026,2465,Petrol,4824734
Mahindra XUV300,Mahindra,2012,248329,Petrol,1165032
Volkswagen Polo,Volkswagen,2011,192352,Diesel,713441
Aston Martin Vantage,Aston,2010,318455,Diesel,30217295
Mercedes-Benz SL,Mercedes-Benz,2018,136630,Diesel,17887314
Ferrari Portofino,Ferrari,2013,110256,Diesel,41834788
Lincoln Nautilus,Lincoln,2025,14481,Petrol,7258785
Mercedes-Benz GLB,Mercedes-Benz,2011,279662,Petrol,5581577
Volkswagen Virtus,Volkswagen,2012,200551,Petrol,1147322
BMW 7 Series,BMW,2013,174748,Diesel,17409745
Honda City,Honda,2017,161572,Diesel,1237546
Hyundai Exter,Hyundai,2019,92240,Petrol,658799
Volvo V40,Volvo,2011,173170,Petrol,4542596
BMW X1,BMW,2023,44070,Petrol,4714636
Maserati MC20,Maserati,2016,154272,Petrol,24244352
Nissan Leaf,Nissan,2018,157734,Petrol,4061142
Citroen eC3,Citroen,2026,2552,Petrol,1252546
Maruti Suzuki S-Presso,Maruti,2013,152143,Petrol,555883
Genesis GV70,Genesis,2024,23736,Petrol,5666306
Maruti Suzuki Fronx,Maruti,2019,109651,Petrol,1171483
Maruti Suzuki S-Presso,Maruti,2019,89990,Diesel,452164
BMW X6 M,BMW,2015,110745,Electric,19580137
Jaguar E-Pace,Jaguar,2021,47814,Diesel,7159457
Maruti Suzuki S-Cross,Maruti,2020,95293,Petrol,911562
Mercedes-Benz GLC,Mercedes-Benz,2012,131554,Petrol,7700547
Tata Harrier,Tata,2025,15830,Petrol,1677969
Toyota Camry,Toyota,2023,52952,Petrol,4602691
McLaren 765LT,McLaren,2014,217535,Diesel,57463307
BMW M3,BMW,2017,162949,Petrol,13594690
Rolls Royce Cullinan,Rolls,2025,16760,Petrol,78023228
Kia EV9,Kia,2022,63752,Electric,13112524
Lincoln Corsair,Lincoln,2012,244296,Diesel,5932598
Bentley Azure,Bentley,2021,62809,Diesel,62372956
Audi A3,Audi,2021,40018,Diesel,3870662
Mahindra Scorpio N,Mahindra,2019,85847,Petrol,1700735
Hyundai Creta,Hyundai,2018,102409,Diesel,1469080
Tata Punch EV,Tata,2021,44090,Electric,1379610
BMW 2 Series,BMW,2020,113532,Petrol,4770584
Volkswagen Passat,Volkswagen,2010,306650,Diesel,2743491
Porsche 911,Porsche,2016,112659,Petrol,20822407
Rolls Royce Phantom,Rolls,2021,59385,Petrol,92435761
Tata Harrier EV,Tata,2022,67855,Electric,2704046
Jeep Gladiator,Jeep,2025,8939,Diesel,5830101
Volvo S90,Volvo,2021,74868,Diesel,6638404
Lexus GX,Lexus,2014,214972,Petrol,11790816
Jaguar XF,Jaguar,2020,71206,Petrol,6037529
Lamborghini Temerario,Lamborghini,2020,90743,Petrol,59992701
Lamborghini Temerario,Lamborghini,2012,249732,Petrol,57324635
Mahindra XUV700,Mahindra,2012,195564,Petrol,1796474
MG ZS EV,MG,2020,87732,Electric,2406766
Rolls Royce Spectre,Rolls,2015,92709,Petrol,95447690
Jaguar XF Sportbrake,Jaguar,2016,114209,Diesel,6597781
BMW X3 M,BMW,2017,176807,Diesel,8609963
Genesis GV70,Genesis,2015,205961,Petrol,5521698
Hyundai Tucson,Hyundai,2020,68356,Diesel,3082865
Volvo V40,Volvo,2014,146370,Petrol,4806685
Maruti Suzuki Baleno,Maruti,2014,157435,Diesel,1066692
Kia EV6,Kia,2019,104649,Electric,6581195
Land Rover Range Rover,Land Rover,2015,190915,Petrol,30188583
Rolls Royce Phantom,Rolls,2018,137591,Petrol,97596769
Honda CR-V,Honda,2018,118520,Petrol,4500855
Citroen eC3,Citroen,2015,98058,Diesel,1256386
BMW M2,BMW,2017,178385,Diesel,10703243
Tata Curvv,Tata,2016,182516,Diesel,1484491
Jaguar I-Pace,Jaguar,2023,43333,Diesel,12753862
BMW X6 M,BMW,2016,136863,Petrol,18544880
Volvo EX90,Volvo,2010,169866,Diesel,8357894
Jeep Wrangler,Jeep,2011,156942,Diesel,5843489
Rolls Royce Spectre,Rolls,2017,140736,Petrol,97660511
Mercedes-Benz AMG E53,Mercedes-Benz,2018,95581,Diesel,13829225
Lamborghini Urus,Lamborghini,2021,84785,Diesel,46213975
Volvo XC90,Volvo,2024,37654,Diesel,10922671
Maruti Suzuki Grand Vitara,Maruti,2023,56404,Petrol,1402513
Cadillac Escalade,Cadillac,2012,143737,Diesel,13561688
Jaguar E-Pace,Jaguar,2025,11647,Petrol,7093827
Porsche Macan,Porsche,2014,200428,Petrol,19186747
Tata Punch,Tata,2013,129867,Diesel,748280
Mercedes-Benz GLA,Mercedes-Benz,2021,49623,Petrol,4565440
Honda City,Honda,2016,144481,Diesel,1408291
Audi TT RS,Audi,2022,60117,Diesel,8346551
Mahindra XUV 3XO,Mahindra,2024,16585,Petrol,1833252
BMW Z4 M40i,BMW,2016,134495,Electric,9365405
Volkswagen Ameo,Volkswagen,2010,237299,Diesel,939121
Hyundai Casper,Hyundai,2020,57559,CNG,667136
Kia Sonet,Kia,2020,88667,CNG,1268272
Ferrari F8 Tributo,Ferrari,2020,109499,Petrol,48143108
Lexus LS,Lexus,2016,186363,Petrol,19756806
Lincoln Aviator,Lincoln,2015,179534,Diesel,7110907
Jeep Wrangler,Jeep,2011,166298,Petrol,5697167
Citroen C3,Citroen,2013,238200,Diesel,737125
Toyota Yaris,Toyota,2013,167216,Diesel,1885432
Mercedes-Benz GLB,Mercedes-Benz,2022,74083,Petrol,5553452
Toyota Fortuner,Toyota,2024,20178,Diesel,3518062
Rolls Royce Phantom,Rolls,2015,209069,Petrol,95541406
Nissan GT-R,Nissan,2017,169120,Petrol,22775082
Skoda Kodiaq,Skoda,2026,2801,Diesel,4199059
Mercedes-Benz GLB,Mercedes-Benz,2019,98875,Diesel,5590605
Porsche 911 GT3,Porsche,2017,138160,Petrol,26806264
Jeep Renegade,Jeep,2017,121645,Petrol,1684216
Mercedes-Benz A-Class,Mercedes-Benz,2019,118860,Diesel,4653954
Lamborghini Huracan,Lamborghini,2014,166103,Petrol,43548082
Jaguar XE,Jaguar,2014,105598,Petrol,4694096
Toyota Hilux,Toyota,2015,139199,Petrol,3393703
Ferrari Daytona SP3,Ferrari,2019,136282,Petrol,46458667
Mercedes-Benz GLS,Mercedes-Benz,2021,46753,Petrol,13129913
Mercedes-Benz CLA,Mercedes-Benz,2013,222362,Diesel,5132885
MG HS,MG,2010,273743,Petrol,2150976
Maruti Suzuki Dzire,Maruti,2015,187903,Petrol,709956
Maruti Suzuki Fronx,Maruti,2019,126899,Petrol,1168619
Lexus RC,Lexus,2026,4467,Petrol,7105890
Lamborghini Revuelto,Lamborghini,2022,72197,Diesel,80772680
Audi RS4,Audi,2023,59869,Petrol,10613517
Aston Martin DBS Superleggera,Aston,2022,66884,Petrol,58815289
MG ZS EV,MG,2025,14890,Electric,2630954
Maserati Grecale,Maserati,2026,2740,Petrol,12485863
Hyundai Casper,Hyundai,2018,112230,Diesel,633368
Kia Carnival,Kia,2018,118761,Petrol,2964404
Maserati Ghibli,Maserati,2011,177877,Petrol,13738969
Mercedes-Benz E-Class,Mercedes-Benz,2020,110116,Petrol,9055819
Tata Tigor,Tata,2022,38965,Petrol,650381
Toyota Vellfire,Toyota,2013,110936,Diesel,98563897
Jaguar XJ,Jaguar,2026,1972,Petrol,12262339
Audi RS3,Audi,2011,133035,Diesel,8889793
Mahindra Bolero,Mahindra,2014,107521,Petrol,1010585
Honda HR-V,Honda,2016,88538,Diesel,1415231
Audi RSQ8,Audi,2020,88986,Petrol,22124536
Mahindra Bolero,Mahindra,2016,114065,Petrol,1065989
Audi RS e-tron GT,Audi,2024,17559,Electric,21398854
BMW X1,BMW,2012,176705,Diesel,5035881
Lincoln Nautilus,Lincoln,2022,71042,Petrol,6174608
Bentley Mulliner Bacalar,Bentley,2012,123715,Petrol,84199499
McLaren 765LT,McLaren,2010,217825,Petrol,55180102
Toyota Camry,Toyota,2010,167949,Petrol,4679574
Genesis GV70,Genesis,2024,25147,Diesel,5215899
Lexus UX,Lexus,2021,67782,Petrol,4747024
Mercedes-Benz AMG GTR,Mercedes-Benz,2016,140867,Diesel,35365130
Volvo V60,Volvo,2014,202034,Diesel,5774323
Lexus GX,Lexus,2017,153767,Petrol,10277160
Land Rover Range Rover Velar,Land Rover,2012,267383,Diesel,9229026
Porsche Taycan,Porsche,2012,227397,Petrol,23913423
Mercedes-Benz CLA,Mercedes-Benz,2026,4245,Petrol,5173403
Citroen C5 Aircross,Citroen,2024,18435,Petrol,3218395
Maserati Ghibli,Maserati,2012,197560,Petrol,14143581
McLaren GT,McLaren,2013,119914,Petrol,45651167
Toyota Yaris,Toyota,2024,36728,Petrol,1803623
BMW 3 Series,BMW,2013,197073,Petrol,6306226
Audi Q8,Audi,2017,155514,Petrol,13767038
Honda Civic,Honda,2016,123101,Petrol,2166368
Audi RS6,Audi,2011,130974,Petrol,15438139
Volvo V40,Volvo,2019,128428,Petrol,4589667
Volkswagen Passat,Volkswagen,2021,59707,Petrol,2970563
Mercedes-Benz AMG GT,Mercedes-Benz,2023,55697,Diesel,28186886
Audi RS4,Audi,2014,114472,Petrol,10595052
BMW 7 Series,BMW,2012,208584,Petrol,13865804
Porsche 911 GT3 RS,Porsche,2016,181427,Petrol,42096681
